count,size_1,kko_1,size_2,kko_2,,,,,,,,,,,,,
12028,44924,kko.ConceptualSystems,14257,kko.Methodeutic,,,,,,,,,,,,,
11695,44924,kko.ConceptualSystems,13831,kko.KnowledgeDomains,,,,,,,,,,,,,
10024,44924,kko.ConceptualSystems,11188,kko.AttributeTypes,,,,,,,,,,,,,
6966,44924,kko.ConceptualSystems,9514,kko.ActionTypes,,,,,,,,,,,,,
8664,44924,kko.ConceptualSystems,9159,kko.Forms,,,,,,,,,,,,,
10763,44924,kko.ConceptualSystems,11013,kko.LivingThings,,,,,,,,,,,,,
5965,44924,kko.ConceptualSystems,8142,kko.TimeTypes,,,,,,,,,,,,,
5541,44924,kko.ConceptualSystems,7679,kko.EventTypes,,,,,,,,,,,,,
7696,44924,kko.ConceptualSystems,7727,kko.MediativeRelations,,,,,,,,,,,,,
6452,44924,kko.ConceptualSystems,7539,kko.AdjunctualAttributes,,,,,,,,,,,,,
8437,44924,kko.ConceptualSystems,8662,kko.Agents,,,,,,,,,,,,,
9401,44924,kko.ConceptualSystems,9593,kko.Eukaryotes,,,,,,,,,,,,,
7545,44924,kko.ConceptualSystems,8063,kko.Places,,,,,,,,,,,,,
7034,44924,kko.ConceptualSystems,7049,kko.SituationTypes,,,,,,,,,,,,,
5534,44924,kko.ConceptualSystems,6050,kko.Information,,,,,,,,,,,,,
6964,44924,kko.ConceptualSystems,7087,kko.Animals,,,,,,,,,,,,,
4791,44924,kko.ConceptualSystems,5524,kko.SocialSystems,,,,,,,,,,,,,
4752,44924,kko.ConceptualSystems,4848,kko.Organizations,,,,,,,,,,,,,
3985,44924,kko.ConceptualSystems,4486,kko.Society,,,,,,,,,,,,,
3653,44924,kko.ConceptualSystems,3887,kko.IntrinsicAttributes,,,,,,,,,,,,,
4369,44924,kko.ConceptualSystems,4396,kko.LocationPlace,,,,,,,,,,,,,
3206,44924,kko.ConceptualSystems,3345,kko.ContextualAttributes,,,,,,,,,,,,,
2741,44924,kko.ConceptualSystems,3383,kko.PrimarySectorProduct,,,,,,,,,,,,,
1633,44924,kko.ConceptualSystems,3258,kko.TertiarySectorService,,,,,,,,,,,,,
3641,44924,kko.ConceptualSystems,3641,kko.Persons,,,,,,,,,,,,,
2183,44924,kko.ConceptualSystems,2675,kko.NaturalMatter,,,,,,,,,,,,,
2267,44924,kko.ConceptualSystems,2300,kko.DirectRelations,,,,,,,,,,,,,
2058,44924,kko.ConceptualSystems,2063,kko.Facilities,,,,,,,,,,,,,
